Hub Code,Hub City,Hub Country,Mission Name,Slug,Duration (Days),Distance (KM),Difficulty,Terrain,Lat,Lng,Route,Key Roads,Highlights,Overnight Stops,Season,Hazards,Description,
ATL,Atlanta,USA,Appalachian Ridge Strike,appalachian-ridge-strike,3,820,medium,mountain passes,33.64,-84.42,Atlanta → Blue Ridge → Cherohala Skyway → Atlanta,US-129; NC-28,Tail of the Dragon; Blue Ridge views; Great Smoky Mountains,Robbinsville,Spring/Autumn,Extreme hairpins; heavy weekend traffic; wildlife,Tactical deployment into the southern Appalachians. Features the world-famous Tail of the Dragon with 318 curves in 11 miles.,
DFW,Dallas,USA,Palo Duro Canyon Recon,palo-duro-recon,3,850,easy,high plains,32.89,-97.04,Dallas → Amarillo → Palo Duro Canyon → Lubbock → Dallas,I-27; TX-217,Palo Duro Canyon; Route 66 heritage; West Texas vistas,Amarillo,Spring/Autumn,Intense prairie crosswinds; long fuel distances,Strategic reconnaissance of the Texas Panhandle. Features technical descents into the nation's second-largest canyon.,
DEN,Denver,USA,Front Range Peak Assault,front-range-assault,2,450,advanced,alpine plateau,39.85,-104.67,Denver → Estes Park → Central City → Peak to Peak Hwy → Denver,CO-7; CO-119,Rocky Mountain National Park; 14er vistas; alpine lakes,Estes Park,Summer,Rapid weather shifts; extreme altitude; wildlife,High-altitude mission targeting the Rocky Mountain Front Range. Features technical canyon riding and rhythmic alpine sweepers.,
ORD,Chicago,USA,Driftless Region Strike,driftless-region-strike,3,720,medium,rolling hills,41.97,-87.9,Chicago → Galena → Mississippi River Valley → Chicago,IL-84; Great River Rd,Mississippi River bluffs; historic Galena; technical coulees,Galena,Late Spring/Autumn,Agricultural residue; deer activity; river fog,Tactical mission through the unglaciated Driftless Area. Features constant elevation changes and scenic river bluffs.,
LAX,Los Angeles,USA,Angeles Crest Recon,angeles-crest-recon,2,360,advanced,technical mountain,33.94,-118.4,LAX → Angeles Crest Hwy → Wrightwood → Ojai → LAX,Hwy 2; Hwy 33,Mount Wilson vistas; Pine Mountain summit; Pacific Coast Hwy,Ojai,Year-round,Rockfall; aggressive weekend riders; thermal shifts,High-intensity technical deployment through the San Gabriel Mountains. The Hwy 2 segment is a world-class test of cornering.,
JFK,New York City,USA,Catskill Mountain Mission,catskill-mountain-mission,2,410,medium,wooded hills,40.64,-73.77,JFK → Hawk's Nest → Hunter Mountain → Ashokan Reservoir → JFK,NY-97; Hwy 28,Delaware River sweepers; Hawk's Nest cliffs; Catskill peaks,Kingston,Spring/Autumn,Deer activity; moisture in forest shadows; weekend congestion,Strategic reconnaissance of the northern Hudson Valley. Features the technical Hawk's Nest cliff-side road and forest sweepers.,
CLT,Charlotte,USA,Blue Ridge Parkway Sweep,blue-ridge-sweep,3,780,easy,mountain ridge,35.21,-80.94,Charlotte → Asheville → Blowing Rock → Little Switzerland → Charlotte,Blue Ridge Pkwy; US-221,Linn Cove Viaduct; Grandfather Mountain; High Country vistas,Asheville,Spring/Autumn,Sudden mountain fog; low speed limits enforced; leaf-peeper traffic,Operational run along the spine of the Appalachians. Features consistent camber and breathtaking ridgeline views.,
LAS,Las Vegas,USA,Valley of Fire Strike,valley-of-fire-strike,2,320,medium,arid canyon,36.08,-115.15,Las Vegas → Valley of Fire → Lake Mead → Hoover Dam → Las Vegas,NV-169; NV-167,Red sandstone formations; Lake Mead shoreline; Hoover Dam,Overton,Winter/Spring,Extense heat; sand on road surface; desert wildlife,Tactical mission through the Mojave Desert. Features high-grip asphalt winding through dramatic red rock formations.,
MCO,Orlando,USA,Ocala National Forest Recon,ocala-forest-recon,2,390,easy,flat forest,28.43,-81.3,Orlando → Ocala National Forest → Mount Dora → Orlando,FL-19; Ozello Trail,Natural springs; forest corridors; Ozello technical twisties,Mount Dora,Winter/Spring,High humidity; sand drifts; afternoon storms,Logistical sweep of the Florida interior. Includes the Ozello Trail,a technical coastal run through salt marshes.,
MIA,Miami,USA,Overseas Highway Mission,overseas-highway-mission,2,520,easy,coastal bridge,25.79,-80.28,Miami → Key Largo → Marathon → Key West → Miami,US-1; Seven Mile Br,Coral reef vistas; Seven Mile Bridge; Atlantic horizons,Key West,Winter,Strong crosswinds; salt spray; heavy tourist traffic,Strategic coastal reconnaissance to the southernmost point. Features grand-scale bridge infrastructure and tropical vistas.,
SEA,Seattle,USA,Olympic Peninsula Loop,olympic-peninsula-loop,3,850,medium,coastal forest,47.45,-122.3,Seattle → Hurricane Ridge → Lake Crescent → Forks → Seattle,Hwy 101; Hwy 112,Olympic National Park; Pacific cliff views; temperate rainforests,Port Angeles,Summer,Constant rain risk; logging trucks; moose activity,Long-range expedition around the Olympic Massif. Features technical fjord-side roads and remote Pacific beaches.,
PHX,Phoenix,USA,Salt River Canyon Strike,salt-river-canyon-strike,2,540,advanced,arid canyon,33.43,-112,Phoenix → Globe → Salt River Canyon → Show Low → Phoenix,US-60; Hwy 88,Salt River hairpins; Mogollon Rim; Apache Trail,Show Low,Spring/Autumn,Extreme switchbacks; desert heat; rockfall risk,High-intensity tactical deployment through the Salt River Canyon. Features over 40 technical hairpins in a single sector.,
SFO,San Francisco,USA,Skyline Boulevard Recon,skyline-boulevard-recon,2,380,advanced,technical ridge,37.62,-122.37,SFO → Skyline Blvd → Alice's Restaurant → Santa Cruz → SFO,Hwy 35; Hwy 1,Redwood forest canopy; Pacific cliffs; Silicon Valley views,Santa Cruz,Year-round,Frequent coastal fog; damp redwood shadows; heavy weekend volume,Technical benchmark mission for Northern California. Features the high-frequency banking transitions of Skyline Boulevard.,
EWR,Newark,USA,Delaware Water Gap Strike,water-gap-strike,2,340,medium,river valley,40.68,-74.17,Newark → Delaware Water Gap → High Point → Newark,Hwy 209; Hwy 23,Appalachian Trail crossings; High Point views; river sweepers,Milford,Spring/Autumn,Deer activity; moisture in forest shadows; weekend volume,Strategic reconnaissance of the New Jersey-Pennsylvania border. Features technical valley riding and mountain ridges.,
IAH,Houston,USA,Texas Hill Country Reach,hill-country-reach,3,880,medium,rolling hills,29.98,-95.34,Houston → Fredericksburg → Three Twisted Sisters → Houston,RR 335; RR 336,Three Twisted Sisters; wildflower fields; limestone canyons,Fredericksburg,Spring,Livestock on road; cattle guards; technical hairpins,Long-range mission to the heart of the Hill Country. Features the 'Three Twisted Sisters',Texas' most technical loops.,
YYZ,Toronto,Canada,Niagara Escarpment Recon,niagara-escarpment-recon,2,420,medium,limestone ridge,43.67,-79.62,Toronto → Hockley Valley → Grey County → Collingwood → Toronto,Road 7; Road 13,Niagara Escarpment; Blue Mountain; Georgian Bay vistas,Collingwood,Summer,Logging trucks; agricultural machinery; weekend congestion,Tactical deployment along the Niagara Escarpment. Features technical forest twisties and high-verticality ridge riding.,
MEX,Mexico City,Mexico,Volcanoes Pass Assault,mex-volcanoes-assault,2,390,advanced,volcanic mountain,19.43,-99.07,Mexico City → Paso de Cortés → Puebla → Cuernavaca → Mexico City,Hwy 190; Hwy 115,Popocatépetl views; high-altitude passes; colonial hubs,Puebla,Year-round,Extreme altitude; volcanic ash (slick); aggressive local traffic,High-altitude mission targeting the volcanic corridor. Features technical pass sequences above 3,500m and rapid thermal shifts.,
BOS,Boston,USA,Kancamagus Highway Strike,kancamagus-strike,2,540,medium,mountain forest,42.36,-71,Boston → North Conway → Kancamagus Hwy → Lincoln → Boston,NH-112; US-3,White Mountain National Park; Swift River; granite peaks,Lincoln,Autumn,Severe moose hazard; leaf-peeper traffic; sudden frost,Operational run through the White Mountains. The Kancamagus is a premier technical forest road with high-speed sweepers.,
MSP,Minneapolis,USA,Great River Road Mission,great-river-road-msp,2,410,easy,river valley,44.88,-93.22,Minneapolis → Red Wing → Alma → Winona → Minneapolis,Hwy 61; WI-35,Mississippi River bluffs; Eagle centers; river crossings,Winona,Summer,Heavy river fog; deer hazards; slow-moving farm vehicles,Logistical mission along the upper Mississippi. Features smooth,low-verticality cruising between dramatic river bluffs.,
FLL,Fort Lauderdale,USA,Everglades Frontier Recon,everglades-recon,2,450,easy,wetland plains,26.07,-80.15,FLL → Tamiami Trail → Big Cypress → Naples → FLL,US-41; Hwy 94,Alligator Alley; Big Cypress Preserve; sawgrass vistas,Naples,Winter,High humidity; monotonous straights; wildlife hazards,Strategic reconnaissance of the Florida Everglades. Features long-horizon visibility and wilderness staging.,
LGA,New York City,USA,Hudson Highlands Strike,hudson-highlands-strike,2,320,medium,river canyon,40.77,-73.87,LGA → Bear Mountain → Storm King Hwy → Cold Spring → LGA,Hwy 9W; Hwy 218,Bear Mountain Bridge; Storm King cliffs; West Point vistas,Cold Spring,Spring/Autumn,Heavy weekend volume; police enforcement; technical hairpins,Tactical mission through the Hudson Highlands. Features the Storm King Highway,a technical road carved into the river cliffs.,
DTW,Detroit,USA,Tunnel of Trees Recon,tunnel-of-trees-recon,3,900,medium,lakeside forest,42.21,-83.35,Detroit → Traverse City → Tunnel of Trees → Harbor Springs → Detroit,M-119; M-22,Lake Michigan vistas; dense forest canopy; Sleeping Bear Dunes,Traverse City,Summer,Sand on road; narrow forest lanes; deer hazards,Long-range expedition to Northern Michigan. Features the M-119 'Tunnel of Trees',a narrow,winding lakeside benchmark.,
PHL,Philadelphia,USA,Lancaster Dutch Strike,lancaster-dutch-strike,2,360,easy,rolling farmland,39.87,-75.24,Philadelphia → Lancaster → Susquehanna River → PHL,PA-772; PA-441,Amish country vistas; covered bridges; Susquehanna bluffs,Lancaster,Spring/Autumn,Horse-drawn carriages; agricultural mud; blind farm crests,Logistical reconnaissance of the Susquehanna Valley. Features rhythmic rolling roads and high cultural density.,
CUN,Cancún,Mexico,Yucatán Jungle Mission,yucatan-jungle-mission,3,680,easy,flat jungle,21.03,-86.87,Cancún → Valladolid → Chichén Itzá → Tulum → Cancún,Hwy 180D; Hwy 307,Mayan ruins; cenote stops; Caribbean coast roads,Valladolid,Winter,High heat; iguanas on road; tropical storms,Strategic deployment through the Mayan heartland. Features long forest corridors and coastal vistas along the Riviera Maya.,
SLC,Salt Lake City,USA,Wasatch Ridge Assault,wasatch-ridge-assault,2,390,advanced,mountain pass,40.78,-111.97,SLC → Park City → Guardsman Pass → Provo Canyon → SLC,Hwy 190; Hwy 224,Alpine loops; Wasatch granite peaks; Great Salt Lake views,Park City,Summer,Extreme altitude; wildlife; gravel in hairpin apexes,High-intensity tactical deployment through the Wasatch Range. Features technical passes above 3,000m and alpine forests.,
BWI,Baltimore,USA,Chesapeake Bay Reach,chesapeake-bay-reach,2,380,easy,coastal plains,39.17,-76.66,BWI → Annapolis → St. Michaels → Tilghman Island → BWI,Hwy 33; Hwy 50,Chesapeake Bay Bridge; historic maritime ports; island vistas,St. Michaels,Spring/Autumn,Heavy weekend bridge traffic; coastal wind; salt spray,Logistical mission to the Eastern Shore. Features grand-scale coastal infrastructure and smooth,rhythmic coastal sweepers.,
IAD,Washington,USA,Shenandoah Ridge Strike,shenandoah-ridge-strike,3,620,medium,mountain ridge,38.94,-77.45,IAD → Skyline Drive → Luray Caverns → Front Royal → IAD,Skyline Drive; US-211,Blue Ridge Mountains; limestone caverns; ridgeline vistas,Luray,Spring/Autumn,Strict speed enforcement; deer activity; mountain fog,Operational reconnaissance of the Shenandoah National Park. Features the iconic Skyline Drive with 75 scenic overlooks.,
DCA,Washington,USA,Potomac River Mission,potomac-river-mission,2,310,easy,river valley,38.85,-77.04,DCA → Mount Vernon → Great Falls → Leesburg → DCA,George Washington Pkwy,Potomac river vistas; historic plantations; fall foliage,Leesburg,Autumn,Heavy commuter traffic; low speed limits; pedestrian zones,Low-complexity tactical deployment along the Potomac. Features smooth cruising and high cultural/historical density.,
