Hub Code,Hub City,Hub Country,Mission Name,Slug,Duration (Days),Distance (KM),Difficulty,Terrain,Lat,Lng,Route,Key Roads,Highlights,Overnight Stops,Season,Hazards,Description,
SLC,Salt Lake City,USA,Wasatch Ridge Assault,wasatch-ridge-assault,2,390,advanced,mountain pass,40.78,-111.97,SLC → Park City → Guardsman Pass → Provo Canyon → SLC,Hwy 190; Hwy 224,Alpine loops; Wasatch granite peaks; Great Salt Lake views,Park City,Summer,Extreme altitude; wildlife; gravel in hairpin apexes,High-intensity tactical deployment through the Wasatch Range. Features technical passes above 3,000m and alpine forests.
SLC,Salt Lake City,USA,Mirror Lake High Sweep,mirror-lake-sweep,2,420,medium,highland plateau,40.61,-110.85,SLC → Kamas → Mirror Lake Hwy → Evanston → SLC,Hwy 150,Provo River Falls; 10,700ft Bald Mountain Pass; high-speed alpine sweepers,Evanston,Summer,Severe crosswinds on plateaus; mountain livestock; rapid weather shifts,Mission targeting the high Uintas. Features a continuous ascent into alpine tundra with world-class asphalt quality.
SLC,Salt Lake City,USA,Flaming Gorge Recon,flaming-gorge-recon,3,680,advanced,arid canyon,40.91,-109.42,SLC → Vernal → Red Canyon → Manila → SLC,US-191; Hwy 44,Flaming Gorge cliffs; technical canyon hairpins; high-grip basalt roads,Vernal,Late Spring/Autumn,Extreme technical curves; long distances between fuel; rockfall risk,Long-range expedition to the Utah-Wyoming border. Features technical ridge-top curves and dramatic red rock transitions.,
BWI,Baltimore,USA,Chesapeake Bay Reach,chesapeake-bay-reach,2,380,easy,coastal plains,39.17,-76.66,BWI → Annapolis → St. Michaels → Tilghman Island → BWI,Hwy 33; Hwy 50,Chesapeake Bay Bridge; historic maritime ports; island vistas,St. Michaels,Spring/Autumn,Heavy weekend bridge traffic; coastal wind; salt spray,Logistical mission to the Eastern Shore. Features grand-scale coastal infrastructure and smooth,rhythmic coastal sweepers.
BWI,Baltimore,USA,Piedmont Forest Strike,piedmont-forest-strike,2,410,medium,wooded hills,39.63,-76.75,BWI → Patapsco Valley → Westminster → Gettysburg → BWI,MD-25; MD-97,Prettyboy Reservoir; battlefield vistas; historic stone bridges,Gettysburg,Spring/Autumn,Deer activity; moisture in forest shadows; slow-moving farm vehicles,Strategic reconnaissance of the Maryland-Pennsylvania border. Features technical reservoir-side lanes and high cultural density.,
BWI,Baltimore,USA,Catoctin Mountain Recon,catoctin-mountain-recon,2,340,medium,mountain forest,39.61,-77.45,BWI → Frederick → Cunningham Falls → Thurmont → BWI,MD-77; US-15,Covered bridges; technical mountain ascents; Presidential retreat perimeters,Frederick,Summer,Heavy cyclist presence; agricultural residue; sudden summer storms,Tactical deployment into the Catoctin Mountains. Features narrow forest lanes and frequent banking transitions.,
IAD,Washington,USA,Shenandoah Ridge Strike,shenandoah-ridge-strike,3,620,medium,mountain ridge,38.94,-77.45,IAD → Skyline Drive → Luray Caverns → Front Royal → IAD,Skyline Drive; US-211,Blue Ridge Mountains; limestone caverns; ridgeline vistas,Luray,Spring/Autumn,Strict speed enforcement; deer activity; mountain fog,Operational reconnaissance of the Shenandoah National Park. Features the iconic Skyline Drive with 75 scenic overlooks.,
IAD,Washington,USA,Potomac Highlands Recon,potomac-highlands-recon,3,750,advanced,rugged mountain,38.83,-79.35,IAD → Winchester → Seneca Rocks → Spruce Knob → IAD,US-33; WV-28,Seneca Rocks cliffs; high-altitude vistas; technical mountain descents,Petersburg,Spring/Autumn,Technical hairpin saturation; aggressive switchbacks; variable grip,High-intensity deployment into the West Virginia peaks. Features the most technical mountain navigation in the Potomac region.,
IAD,Washington,USA,Gettysburg Battle Recon,gettysburg-battle-recon,2,360,easy,rolling farmland,39.81,-77.22,IAD → Leesburg → Gettysburg → Frederick → IAD,US-15; Route 7,Historic battlefield vistas; 1860s village architecture; canopy roads,Gettysburg,Spring/Autumn,Heavy weekend volume; police enforcement; deer activity,Tactical mission through the historic heartland. Features smooth,low-verticality cruising and high-frequency history stops.
DCA,Washington,USA,Potomac River Mission,potomac-river-mission,2,310,easy,river valley,38.85,-77.04,DCA → Mount Vernon → Great Falls → Leesburg → DCA,George Washington Pkwy,Potomac river vistas; historic plantations; fall foliage,Leesburg,Autumn,Heavy commuter traffic; low speed limits; pedestrian zones,Low-complexity tactical deployment along the Potomac. Features smooth cruising and high cultural/historical density.,
